step,lr,train_loss,ema_loss,val_loss,grad_norm,tok_per_s,elapsed_s
50,2.94e-05,7.478958487510681,10.771561159894839,7.435395240783691,1.5937795639038086,84230.4287715293,23.341683387756348
60,3.539999999999999e-05,6.878106594085693,10.576888431604381,6.842986583709717,1.4187779426574707,84232.33191648482,23.341156005859375
70,4.14e-05,6.2524285316467285,10.360665436606498,6.223945617675781,1.823906660079956,84193.88820983158,23.351813793182373
80,4.7399999999999993e-05,5.780386924743652,10.131651511013354,5.715753078460693,3.1885623931884766,84234.24031003144,23.340627193450928
90,5.339999999999999e-05,5.359401702880859,9.893039020606729,5.278000831604004,2.491664409637451,84216.62838166718,23.345508337020874
100,5.94e-05,4.871321082115173,9.641953123682152,4.920586109161377,1.752966284751892,84183.71856600176,23.354634761810303
1,0.0,11.4047532081604,11.4047532081604,11.390728950500488,6.942327499389648,2265762.4672204615,8.677343845367432
100,5.94e-05,4.943503141403198,11.08169070482254,4.878283500671387,2.198423385620117,86407.16388239052,227.53668928146362
1,0.0,11.404792308807373,11.404792308807373,11.390728950500488,6.942220687866211,2641299.994413972,7.443607330322266
100,5.94e-05,4.906694769859314,11.07988743185997,4.821002006530762,1.7380521297454834,178485.04234802202,110.15376830101013
1,0.0,11.404792308807373,11.404792308807373,11.390728950500488,6.942190170288086,269934.92164367606,7.283533334732056
10,5.399999999999999e-06,10.646663188934326,11.36688585281372,10.50171184539795,6.367801189422607,196140.49555536127,10.023835182189941
20,1.14e-05,9.103067636489868,11.253694941997527,8.997757911682129,3.9793624877929688,176212.69879867643,11.157425165176392
30,1.74e-05,8.311777591705322,11.106599074482917,8.246336936950684,2.3806142807006836,176082.41755757324,11.165680408477783
40,2.34e-05,7.871642708778381,10.944851256197689,7.840139865875244,1.6784847974777222,175873.76014325256,11.178927421569824
50,2.94e-05,7.478750228881836,10.771546204831896,7.435186862945557,1.5938752889633179,175920.4268099618,11.175961971282959
60,3.539999999999999e-05,6.877824425697327,10.576860115875167,6.842789649963379,1.4197454452514648,175391.31621163528,11.20967698097229
70,4.14e-05,6.252090811729431,10.36062165066788,6.224031448364258,1.8337175846099854,175272.7772085672,11.217258214950562
80,4.7399999999999993e-05,5.780237317085266,10.13160243398875,5.7166266441345215,3.157694101333618,175875.39557165312,11.178823471069336
90,5.339999999999999e-05,5.363422393798828,9.893193431979254,5.284357070922852,2.5549733638763428,174233.2346788726,11.284184694290161
100,5.94e-05,4.86295485496521,9.64168150312855,4.8890910148620605,1.4922070503234863,174194.14439085894,11.286716938018799
110,6.539999999999999e-05,4.5330692529678345,9.386250890620515,4.538201808929443,2.1347591876983643,175350.84701074968,11.212264060974121
120,7.139999999999999e-05,4.263334631919861,9.130105077685482,4.260521411895752,1.190158724784851,177065.14411012462,11.103709936141968
130,7.74e-05,4.058831870555878,8.876541417329,4.032927989959717,1.922569990158081,183460.81421501093,10.716620922088623
140,8.34e-05,3.7909566164016724,8.622262177282632,3.8096914291381836,1.6335248947143555,181831.63089026825,10.812640190124512
150,8.939999999999999e-05,3.696200370788574,8.375959086957929,3.6301915645599365,0.9844352602958679,182398.35823240437,10.779044389724731
160,9.539999999999999e-05,3.5217906832695007,8.133250666773506,3.4631056785583496,1.3439252376556396,183032.27076606083,10.74171233177185
170,0.0001014,3.366585910320282,7.894917428950845,3.3511271476745605,1.9203039407730103,182977.0495081123,10.744954109191895
180,0.00010739999999999998,3.2344796657562256,7.661895540791114,3.216712236404419,1.5901283025741577,182828.74629504804,10.75366997718811
190,0.00011339999999999999,3.121807873249054,7.43489115741401,3.1346404552459717,1.3287888765335083,184525.09964182874,10.654810667037964
200,0.0001194,3.0803495049476624,7.217164074790692,3.0318267345428467,2.006565809249878,184573.98811818287,10.651988506317139
210,0.00012539999999999999,2.9041585326194763,7.001513797682131,2.9768378734588623,1.7088974714279175,184561.46306359052,10.652711391448975
220,0.0001314,2.8608269691467285,6.7944794562553605,2.9320428371429443,1.490588903427124,184605.21314280748,10.650186777114868
230,0.0001374,2.786415457725525,6.594076256328869,2.824002265930176,1.6618220806121826,184501.67440437493,10.656163454055786
240,0.0001434,2.7431480288505554,6.401529844954952,2.7861485481262207,1.4328910112380981,184327.64954841125,10.666224002838135
250,0.0001494,2.7580759525299072,6.2193571503337,2.71156907081604,1.7549159526824951,184374.33516541967,10.663523197174072
