step,lr,train_loss,ema_loss,val_loss,grad_norm,tok_per_s,elapsed_s
1,0.0,11.325183868408203,11.325183868408203,11.307522640228271,5.176494121551514,5658.68838526014,5.790741205215454
10,3.6e-06,11.142019271850586,11.294048837094206,11.097613830566406,5.246981143951416,191743.7576733314,1.7089474201202393
20,7.6e-06,10.548866271972656,11.102662675278683,10.449252262115479,4.8592610359191895,172791.42175584275,1.896390438079834
30,1.16e-05,9.67990493774414,10.668383294182249,9.562381839752197,4.0205769538879395,172751.87188712117,1.896824598312378
40,1.56e-05,8.885066032409668,10.064282681703695,8.83737693786621,2.681455612182617,171467.50235919323,1.9110326766967773
50,1.9600000000000002e-05,8.411888122558594,9.476062615643725,8.359605865478516,1.950419545173645,172155.95849286232,1.9033904075622559
60,2.36e-05,8.046902656555176,8.954434181537529,8.001455907821656,1.7193022966384888,172308.6392578837,1.9017038345336914
70,2.7600000000000003e-05,7.657068252563477,8.50137299413179,7.643923740386963,1.5929065942764282,172789.29285594312,1.896413803100586
80,3.16e-05,7.263746738433838,8.068940130963599,7.2012828350067135,1.4201236963272095,172475.63715638415,1.89986252784729
90,3.56e-05,6.800868988037109,7.632748120963684,6.713840703964234,1.4090224504470825,172372.0227341165,1.9010045528411865
100,3.960000000000001e-05,6.318412780761719,7.1725275169059035,6.222525491714477,1.2314021587371826,172588.80338188226,1.8986167907714844
110,4.36e-05,5.851398944854736,6.708486445847357,5.80408576965332,1.5887852907180786,172694.06740598317,1.8974595069885254
120,4.76e-05,5.494140148162842,6.275020333830656,5.463611726760864,1.9819116592407227,172738.86630457925,1.8969674110412598
130,5.16e-05,5.214048385620117,5.888619804957959,5.1619257068634035,1.331065058708191,172803.71826543176,1.8962554931640625
140,5.560000000000001e-05,4.982920169830322,5.555396872409467,4.903364534378052,1.706109642982483,172613.92583497788,1.8983404636383057
150,5.96e-05,4.650487422943115,5.251789085415722,4.675943727493286,1.2499444484710693,172442.4193915888,1.900228500366211
160,6.36e-05,4.503355026245117,4.975082864494954,4.465658931732178,1.2149620056152344,172235.82636732026,1.9025077819824219
170,6.76e-05,4.347864627838135,4.741723882068648,4.267063646316529,1.013446569442749,172469.5769355823,1.8999292850494385
180,7.16e-05,4.113985061645508,4.520584162874668,4.115605812072754,1.4820104837417603,172636.21485685115,1.8980953693389893
190,7.560000000000001e-05,4.000326156616211,4.326023141662767,3.9984785413742063,2.1581153869628906,172419.44494666925,1.9004817008972168
200,7.960000000000001e-05,3.918759346008301,4.176245946807477,3.873714509010315,1.3695067167282104,172415.0324773484,1.9005303382873535
210,8.36e-05,3.7914392948150635,4.035189297258046,3.7745982360839845,1.0765401124954224,172587.09124619904,1.8986356258392334
220,8.76e-05,3.603426694869995,3.901686963988354,3.673786153793335,1.083687424659729,172578.42272617974,1.898730993270874
230,9.16e-05,3.6174001693725586,3.7950352562831218,3.5863160276412964,1.2852330207824707,172495.89870056033,1.899639368057251
240,9.56e-05,3.5519089698791504,3.6936723535756033,3.5166502809524536,1.4286521673202515,172215.56113266677,1.9027316570281982
250,9.960000000000001e-05,3.5053300857543945,3.6067651893052926,3.440545082092285,1.9616961479187012,171829.57820668267,1.907005786895752
260,0.00010360000000000001,3.4663171768188477,3.5313869606667194,3.385464000701904,1.2191537618637085,172492.45650004316,1.8996772766113281
270,0.00010760000000000001,3.2477755546569824,3.452267960432107,3.3099222135543824,1.536856770515442,172512.5054594649,1.89945650100708
280,0.00011160000000000002,3.3041839599609375,3.39293766888458,3.252673001289368,1.6221427917480469,172490.1617760196,1.899702548980713
290,0.00011559999999999999,3.1996190547943115,3.335601756843672,3.2223469114303587,1.740323781967163,172253.98064258593,1.9023072719573975
300,0.00011960000000000001,3.1709988117218018,3.29018876605571,3.1673150205612184,1.2619346380233765,172657.1431557705,1.8978652954101562
310,0.0001236,3.2122602462768555,3.2347728101459348,3.121201171875,1.5183970928192139,173067.90696924736,1.8933608531951904
320,0.0001276,3.0663204193115234,3.1873066970260266,3.0793647384643554,1.2951037883758545,172408.37094174273,1.9006037712097168
330,0.0001316,2.9785444736480713,3.1329742881068428,3.041298394203186,1.7446227073669434,166565.55602160763,1.967273473739624
340,0.00013560000000000002,2.963850498199463,3.0755578709563913,2.999593677520752,1.3485791683197021,172730.42132392392,1.8970601558685303
350,0.0001396,2.9378042221069336,3.0377644066296967,2.9589019584655762,1.5172808170318604,172161.28502642628,1.9033315181732178
360,0.0001436,2.9174933433532715,3.0054763849485626,2.928099093437195,1.1567147970199585,167286.31089005174,1.9587974548339844
